model,domain,raw_top10,raw_PR_norm,centered_top10,centered_PR_norm,l2norm_top10,l2norm_PR_norm,raw_minus_centered_top10
bge_small,FreeLaw,0.7127719521522522,0.006221442017704248,0.20021118223667145,0.32263028621673584,0.7127719521522522,0.006221442017704248,0.5125607699155807
bge_small,Github,0.7075179815292358,0.006719955708831549,0.24110852181911469,0.2601335942745209,0.7075179815292358,0.006719955708831549,0.46640945971012115
bge_small,Pile-CC,0.5773050785064697,0.011314314790070057,0.20501123368740082,0.324683278799057,0.577305018901825,0.011314316652715206,0.3722938448190689
bge_small,PubMed_Central,0.7054592967033386,0.007373108994215727,0.2919752597808838,0.1979629397392273,0.7054593563079834,0.007373108994215727,0.41348403692245483
bge_small,StackExchange,0.6346263885498047,0.009262225590646267,0.2409035563468933,0.2614656388759613,0.6346263289451599,0.009262226521968842,0.3937228322029114
bge_small,USPTO_Backgrounds,0.6571798920631409,0.008488182909786701,0.2485877275466919,0.24783633649349213,0.6571798920631409,0.008488182909786701,0.408592164516449
bge_small,Wikipedia_en,0.5311864018440247,0.01418360322713852,0.19583626091480255,0.3496337831020355,0.5311864018440247,0.01418360322713852,0.3353501409292221
biobert,ArXiv,0.9670537114143372,0.0015193475410342216,0.5740512013435364,0.01541572343558073,0.9673255681991577,0.0015151668339967728,0.3930025100708008
biobert,FreeLaw,0.9740515947341919,0.001530391164124012,0.686371386051178,0.010919001884758472,0.9747171998023987,0.00151803286280483,0.2876802086830139
biobert,Github,0.9172075986862183,0.001904886681586504,0.5523643493652344,0.028192661702632904,0.9225142598152161,0.0018398944521322846,0.3648432493209839
biobert,Pile-CC,0.9498744010925293,0.0015862910076975822,0.49291282892227173,0.03368928283452988,0.9503476619720459,0.0015833481447771192,0.45696157217025757
biobert,PubMed_Central,0.9515088796615601,0.0015544673660770059,0.451681911945343,0.030792677775025368,0.9526336789131165,0.0015443824231624603,0.49982696771621704
biobert,StackExchange,0.9509093165397644,0.0016751907533034682,0.6183350682258606,0.013688851147890091,0.9513648748397827,0.0016385052585974336,0.3325742483139038
biobert,USPTO_Backgrounds,0.9581027626991272,0.0015013274969533086,0.4133576452732086,0.05234675109386444,0.9582790732383728,0.0015003044391050935,0.5447451174259186
biobert,Wikipedia_en,0.9325487017631531,0.0016802515601739287,0.46466517448425293,0.04302970692515373,0.9336728453636169,0.0016728552291169763,0.46788352727890015
legal_bert,ArXiv,0.971006453037262,0.0014604158932343125,0.5001194477081299,0.02084321528673172,0.9710995554924011,0.0014587035402655602,0.4708870053291321
legal_bert,FreeLaw,0.955095648765564,0.001604512450285256,0.5671570897102356,0.023269884288311005,0.955808699131012,0.0015945183113217354,0.38793855905532837
legal_bert,Github,0.9275540709495544,0.0017282627522945404,0.4803864061832428,0.03784315288066864,0.9292874336242676,0.0017014063196256757,0.44716766476631165
legal_bert,Pile-CC,0.9533789753913879,0.001542955171316862,0.4490789771080017,0.044629693031311035,0.9536056518554688,0.0015416586538776755,0.5042999982833862
legal_bert,PubMed_Central,0.9620840549468994,0.0015129847452044487,0.49930742383003235,0.030820153653621674,0.9629926681518555,0.001507583074271679,0.46277663111686707
legal_bert,StackExchange,0.9540486931800842,0.001559621305204928,0.49132969975471497,0.026603708043694496,0.9540494084358215,0.0015527476789429784,0.46271899342536926
