n,d,mode,spectrum_entropy,participation_ratio,normalized_PR,top1_ratio,top5_ratio,top10_ratio,top20_ratio,top50_ratio,model,domain
2657,1024,raw,2.626991033554077,2.5821213722229004,0.002521602902561426,0.6200874447822571,0.7070229053497314,0.7429356575012207,0.7802585363388062,0.8365671038627625,bge_large,ArXiv
2657,1024,centered,5.164220809936523,51.87531661987305,0.05065948888659477,0.08725379407405853,0.25416865944862366,0.33745670318603516,0.42968323826789856,0.5741817951202393,bge_large,ArXiv
5000,1024,l2norm,2.9277472496032715,2.8360040187835693,0.0027695351745933294,0.5925439596176147,0.6454927921295166,0.6801021695137024,0.7216114401817322,0.7909098267555237,bge_large,Github
5000,1024,raw,2.9277472496032715,2.8360040187835693,0.0027695351745933294,0.5925439596176147,0.6454927921295166,0.6801021695137024,0.7216113805770874,0.7909098267555237,bge_large,Github
5000,1024,centered,5.522840976715088,109.78406524658203,0.10721100121736526,0.048906467854976654,0.15123160183429718,0.2280539870262146,0.32563668489456177,0.492443323135376,bge_large,Github
5000,1024,l2norm,2.957644462585449,2.9199676513671875,0.002851530909538269,0.5836313962936401,0.6465527415275574,0.6854705810546875,0.7262394428253174,0.793865442276001,bge_large,PubMed_Central
5000,1024,raw,2.95764422416687,2.9199676513671875,0.002851530909538269,0.5836313962936401,0.6465527415275574,0.6854705810546875,0.7262394428253174,0.793865442276001,bge_large,PubMed_Central
5000,1024,centered,5.469408988952637,93.37042999267578,0.09118206053972244,0.05216947942972183,0.1768256574869156,0.2572586238384247,0.3512015640735626,0.5099210143089294,bge_large,PubMed_Central
5000,1024,l2norm,2.816274404525757,2.612917423248291,0.002551677171140909,0.6177659034729004,0.6609601378440857,0.6864678263664246,0.7198280096054077,0.7838655710220337,bge_large,FreeLaw
5000,1024,raw,2.8162741661071777,2.61291766166687,0.002551677403971553,0.6177658438682556,0.6609600782394409,0.6864678263664246,0.7198279500007629,0.7838655114173889,bge_large,FreeLaw
5000,1024,centered,5.626852035522461,135.08624267578125,0.13192015886306763,0.04392959922552109,0.13120488822460175,0.19066797196865082,0.27482375502586365,0.4395107626914978,bge_large,FreeLaw
5000,1024,l2norm,3.720226764678955,4.67425012588501,0.00456469738855958,0.4602453112602234,0.517678439617157,0.5595768094062805,0.6141942739486694,0.7076953649520874,bge_large,StackExchange
5000,1024,raw,3.720226764678955,4.67425012588501,0.00456469738855958,0.4602453112602234,0.517678439617157,0.5595768094062805,0.6141942739486694,0.7076953053474426,bge_large,StackExchange
5000,1024,centered,5.612916946411133,137.30368041992188,0.13408562541007996,0.033425476402044296,0.1256454586982727,0.19739240407943726,0.2936801314353943,0.4630658030509949,bge_large,StackExchange
5000,1024,l2norm,3.2447474002838135,3.38728928565979,0.0033078996930271387,0.5417916774749756,0.5958184003829956,0.6336374878883362,0.6790660619735718,0.7576583027839661,bge_large,USPTO_Backgrounds
5000,1024,raw,3.2447471618652344,3.38728928565979,0.0033078996930271387,0.5417916774749756,0.5958184003829956,0.6336374878883362,0.6790660619735718,0.7576583027839661,bge_large,USPTO_Backgrounds
5000,1024,centered,5.574896812438965,124.374755859375,0.1214597225189209,0.0384196974337101,0.1399034559726715,0.21339727938175201,0.3081620931625366,0.4759770631790161,bge_large,USPTO_Backgrounds
5000,768,l2norm,0.6565274596214294,1.1839938163757324,0.0015416586538776755,0.9189187288284302,0.9414170980453491,0.9536056518554688,0.9641669988632202,0.9764209985733032,legal_bert,Pile-CC
5000,768,raw,0.6592251062393188,1.18498957157135,0.001542955171316862,0.9185312986373901,0.9411911964416504,0.9533789753913879,0.9639326333999634,0.9763197302818298,legal_bert,Pile-CC
5000,768,centered,4.610230445861816,34.275604248046875,0.044629693031311035,0.10075803846120834,0.3223433792591095,0.4490789771080017,0.569634735584259,0.7156544327735901,legal_bert,Pile-CC
5000,768,l2norm,0.8605153560638428,1.2615995407104492,0.001642707735300064,0.8901328444480896,0.9184108376502991,0.9333134889602661,0.9484980702400208,0.9674974679946899,legal_bert,Wikipedia_en
5000,768,raw,0.8704087138175964,1.2657923698425293,0.00164816714823246,0.8886507153511047,0.9174479842185974,0.9324310421943665,0.9477434754371643,0.9670082330703735,legal_bert,Wikipedia_en
5000,768,centered,4.676296234130859,38.85560607910156,0.050593238323926926,0.09870423376560211,0.29267916083335876,0.4132777452468872,0.5411889553070068,0.7085005044937134,legal_bert,Wikipedia_en
2657,768,l2norm,0.45026758313179016,1.1202843189239502,0.0014587035402655602,0.9446913003921509,0.9646321535110474,0.9710995554924011,0.9773576855659485,0.9857911467552185,legal_bert,ArXiv
2657,768,raw,0.4533911347389221,1.1215994358062744,0.0014604158932343125,0.9441332817077637,0.9644238352775574,0.971006453037262,0.9773324131965637,0.9857827425003052,legal_bert,ArXiv
2657,768,centered,4.251622676849365,16.00758934020996,0.02084321528673172,0.22244858741760254,0.3968369960784912,0.5001194477081299,0.6049115657806396,0.7509419918060303,legal_bert,ArXiv
5000,768,l2norm,0.942881166934967,1.3066800832748413,0.0017014063196256757,0.8745421767234802,0.9095396399497986,0.9292874336242676,0.9476491212844849,0.967488169670105,legal_bert,Github
5000,768,raw,0.979803204536438,1.327305793762207,0.0017282627522945404,0.8676620721817017,0.9066935181617737,0.9275540709495544,0.9465416073799133,0.9668644666671753,legal_bert,Github
5000,768,centered,4.41619348526001,29.063541412353516,0.03784315288066864,0.11897198855876923,0.3410080075263977,0.4803864061832428,0.6110943555831909,0.758293628692627,legal_bert,Github
5000,768,l2norm,0.5641458630561829,1.1578238010406494,0.001507583074271679,0.929239809513092,0.9530363082885742,0.9629926681518555,0.9720051884651184,0.9830446243286133,legal_bert,PubMed_Central
5000,768,raw,0.5751598477363586,1.1619722843170166,0.0015129847452044487,0.9275743365287781,0.951803982257843,0.9620840549468994,0.9714680910110474,0.9828886389732361,legal_bert,PubMed_Central
5000,768,centered,4.327601909637451,23.669878005981445,0.030820153653621674,0.14807438850402832,0.37976565957069397,0.49930742383003235,0.6194677352905273,0.7699816823005676,legal_bert,PubMed_Central
5000,768,l2norm,0.7176935076713562,1.2245900630950928,0.0015945183113217354,0.9033769369125366,0.9423704743385315,0.955808699131012,0.9667953252792358,0.9795933365821838,legal_bert,FreeLaw
5000,768,raw,0.73323655128479,1.232265591621399,0.001604512450285256,0.9005321264266968,0.9414721727371216,0.955095648765564,0.9662320017814636,0.9792904257774353,legal_bert,FreeLaw
5000,768,centered,4.1092448234558105,17.87127113342285,0.023269884288311005,0.162035271525383,0.4559481739997864,0.5671570897102356,0.6694589257240295,0.79596346616745,legal_bert,FreeLaw
5000,768,l2norm,0.6615540981292725,1.1925102472305298,0.0015527476789429784,0.9155508875846863,0.9443417191505432,0.9540494084358215,0.9637187719345093,0.9769391417503357,legal_bert,StackExchange
5000,768,raw,0.6717996597290039,1.197789192199707,0.001559621305204928,0.9135169982910156,0.9442840218544006,0.9540486931800842,0.9637830257415771,0.9769948720932007,legal_bert,StackExchange
5000,768,centered,4.339300632476807,20.43164825439453,0.026603708043694496,0.1780230551958084,0.3950461745262146,0.49132969975471497,0.5952429175376892,0.7416480183601379,legal_bert,StackExchange
5000,768,l2norm,0.5857435464859009,1.1635262966156006,0.0015150081599131227,0.9269649982452393,0.9499912261962891,0.9603651165962219,0.9700623154640198,0.9815256595611572,legal_bert,USPTO_Backgrounds
5000,768,raw,0.5867840647697449,1.1639119386672974,0.001515510375611484,0.9268106818199158,0.9499112963676453,0.96028733253479,0.9699934124946594,0.9814847111701965,legal_bert,USPTO_Backgrounds
5000,768,centered,4.4355340003967285,27.6221981048584,0.035966403782367706,0.12704266607761383,0.35314682126045227,0.4781052768230438,0.5999309420585632,0.7515447735786438,legal_bert,USPTO_Backgrounds
5000,768,l2norm,0.7205342054367065,1.21601140499115,0.0015833481447771192,0.9066601395606995,0.9375674724578857,0.9503476619720459,0.9624177813529968,0.9770572185516357,biobert,Pile-CC
5000,768,raw,0.7263085246086121,1.2182714939117432,0.0015862910076975822,0.9058147072792053,0.9370095729827881,0.9498744010925293,0.961999773979187,0.9767851233482361,biobert,Pile-CC
5000,768,centered,4.377286911010742,25.873369216918945,0.03368928283452988,0.12974813580513,0.3724939525127411,0.49291282892227173,0.609742283821106,0.7596808075904846,biobert,Pile-CC
